,ID,Created_At,Source,Original_Text,Is_Retweeted,Retweet_count,Like_count,Clean_Text,VADER_Neg,VADER_Neu,VADER_Pos,VADER_Comp,TextBlob_score,Afinn_score,VADER_Sentiment,Textblob_Sentiment,Afinn_Sentiment,Sentiment
0,1314645055462952961,2020-10-09 19:13:00,TweetDeck,"@Michael_Levet @CofCSSM @dataatcofc Even our Data Science minor requires calculus (either ""scientific"" or ""business… https://t.co/mEkNmhXnwH",False,0,0,"Even our Data Science minor requires calculus (either ""scientific"" or ""business",0.0,1.0,0.0,0.0,-0.05,0.0,Neutral,Negative,Neutral,Neutral
1,1314645052203970560,2020-10-09 19:13:00,Twitter for iPhone,"RT @MITOCW: The top 10 search terms on OCW are:
1. python
2. linear algebra
3. machine learning
4. computer science
5. calculus
6. statisti…",False,181,0,: The top search terms on OCW are:1. python2. linear algebra3. machine learning4. computer science5. calculus6. statisti,0.0,0.899,0.101,0.2023,0.5,2.0,Positive,Positive,Positive,Positive
2,1314645035053350912,2020-10-09 19:12:55,Twitter for iPad,"RT @DrDylanParry: I agree. Not seen a case of Chicken Pox since sometime pre-lockdown. 

https://t.co/H0jnrvLo5u",False,1,0,: I agree. Not seen a case of Chicken Pox since sometime pre-lockdown.,0.0,0.828,0.172,0.3612,-0.6,1.0,Positive,Negative,Positive,Positive
3,1314645017982644224,2020-10-09 19:12:51,,RT @EdKwedar: Awesome #DeepLearning (Cheat Sheets) | #BigData #Analytics #AI #MachineLearning #DataScience #IoT #IIoT #Python #RStats #Tens…,False,16,0,: Awesome (Cheat Sheets) |,0.297,0.297,0.406,0.2732,1.0,1.0,Positive,Positive,Positive,Positive
4,1314644967701319682,2020-10-09 19:12:39,piqasso.io,"RT @andi_staub: #DataScience For #Finance:
Opportunities for #FinTech

#BigData #PredictiveAnalytics #Insurtech #AI #MachineLearning @leime…",False,12,0,: For rtunities for,0.0,1.0,0.0,0.0,0.0,0.0,Neutral,Neutral,Neutral,Neutral
5,1314644954510172160,2020-10-09 19:12:36,Twitter Web App,"RT @mommamia1217: I want to live in America where #Science is revered.
DJT👉🏼
-W/drew the Paris accord
-Weakened Endangered Species Act
-Rev…",False,31,0,: I want to live in America where is revered.DJT-W/drew the Paris accord-Weakened Endangered Species Act-Rev,0.0,0.92,0.08,0.0772,0.13636363636363635,1.0,Positive,Positive,Positive,Positive
6,1314644919043067904,2020-10-09 19:12:28,Twitter for iPhone,RT @histoftech: “Where do these false concepts of objectivity in data science come from? Why do we keep making the SAME mistakes?” Technoch…,False,4,0,: Where do these false concepts of objectivity in data science come from? Why do we keep making the SAME mistakes? Technoch,0.12,0.88,0.0,-0.4329,-0.20000000000000004,-3.0,Negative,Negative,Negative,Negative
7,1314644905487069184,2020-10-09 19:12:25,Twitter for iPhone,"RT @chrisalbon: Twitter just announced accounts with over 100,000 followers will now have higher standards when tweeting to prevent disinfo…",False,30,0,: Twitter just announced accounts with over followers will now have higher standards when tweeting to prevent disinfo,0.0,0.939,0.061,0.0258,0.25,-1.0,Neutral,Positive,Negative,Neutral
8,1314644887736913920,2020-10-09 19:12:20,Twitter Web App,Science and data are definitively confirming what many already knew to be true. https://t.co/6ueNyxCtSa,False,0,0,Science and data are definitively confirming what many already knew to be true.,0.0,0.811,0.189,0.4215,0.425,2.0,Positive,Positive,Positive,Positive
9,1314644882326261760,2020-10-09 19:12:19,Twitter for iPhone,"RT @chrisalbon: Twitter just announced accounts with over 100,000 followers will now have higher standards when tweeting to prevent disinfo…",False,30,0,: Twitter just announced accounts with over followers will now have higher standards when tweeting to prevent disinfo,0.0,0.939,0.061,0.0258,0.25,-1.0,Neutral,Positive,Negative,Neutral
10,1314644872159260678,2020-10-09 19:12:17,Twitter for iPhone,"RT @RepKatiePorter: Access to comprehensive, science-based research is crucial for lawmakers to make informed decisions about disaster-prep…",False,195,0,": Access to comprehensive, science-based research is crucial for lawmakers to make informed decisions about disaster-prep",0.0,0.882,0.118,0.25,0.0,0.0,Positive,Neutral,Neutral,Neutral
11,1314644839544303616,2020-10-09 19:12:09,Twitter for Android,"RT @Tobias_Bach_1: I am looking for a PostDoc (4 years, 25% teaching) in a project on the effects of leadership background in the public se…",False,69,0,": I am looking for a PostDoc (4 years, % teaching) in a project on the effects of leadership background in the public se",0.0,1.0,0.0,0.0,0.0,1.0,Neutral,Neutral,Positive,Neutral
12,1314644832695050241,2020-10-09 19:12:07,Twitter for iPhone,RT @Azeem_Majeed: The social restrictions and behavioural changes arising from the #COVID19 pandemic have led to a reduction in cases of ot…,False,5,0,: The social restrictions and behavioural changes arising from the pandemic have led to a reduction in cases of ot,0.0,1.0,0.0,0.0,0.03333333333333333,0.0,Neutral,Neutral,Neutral,Neutral
13,1314644829461192706,2020-10-09 19:12:06,twitter-bot-fab,RT @EdKwedar: Awesome #DeepLearning (Cheat Sheets) | #BigData #Analytics #AI #MachineLearning #DataScience #IoT #IIoT #Python #RStats #Tens…,False,16,0,: Awesome (Cheat Sheets) |,0.297,0.297,0.406,0.2732,1.0,1.0,Positive,Positive,Positive,Positive
14,1314644829356294146,2020-10-09 19:12:06,twitter-bot-fab,RT @saqibali_ca: #DataScience Professor Receives $ 1.25 Million from Department of Defense | University of Arkansas  https://t.co/Tn7bRbWsK9,False,1,0,: Professor Receives $ Million from Department of Defense | University of Arkansas,0.0,0.889,0.111,0.128,0.0,0.0,Positive,Neutral,Neutral,Neutral
15,1314644794052939778,2020-10-09 19:11:58,Twitter for Android,"RT @RepKatiePorter: Access to comprehensive, science-based research is crucial for lawmakers to make informed decisions about disaster-prep…",False,195,0,": Access to comprehensive, science-based research is crucial for lawmakers to make informed decisions about disaster-prep",0.0,0.882,0.118,0.25,0.0,0.0,Positive,Neutral,Neutral,Neutral
16,1314644777892286466,2020-10-09 19:11:54,TweetDeck,@Michael_Levet @CofCSSM The College of Charleston now has a Bachelor's degree with a Data Science major (… https://t.co/oQRhsKvNKe,False,0,1,The College of Charleston now has a Bachelor's degree with a Data Science major (,0.0,1.0,0.0,0.0,0.0625,0.0,Neutral,Positive,Neutral,Neutral
17,1314644777489494016,2020-10-09 19:11:54,Twitter Web App,"RT @jonathanstray: Folks who want to use AI/ML for good generally think of things like predictive models, but actually... smart methods for…",False,24,0,": Folks who want to use AI/ML for good generally think of things like predictive models, but actually... smart methods for",0.0,0.669,0.331,0.7506,0.24107142857142858,7.0,Positive,Positive,Positive,Positive
18,1314644757117894656,2020-10-09 19:11:49,Twitter Web App,"Some GOOD NEWS! ""Non-Covid infectious disease cases down in England, data suggests"" #covid19uk https://t.co/zl8bczkT4S",False,0,0,"Some GOOD NEWS! ""Non-Covid infectious disease cases down in England, data suggests""",0.0,0.737,0.263,0.6027,0.3597222222222222,0.0,Positive,Positive,Neutral,Positive
19,1314644659507994626,2020-10-09 19:11:26,auto is the only way it can be ,RT @EdKwedar: Awesome #DeepLearning (Cheat Sheets) | #BigData #Analytics #AI #MachineLearning #DataScience #IoT #IIoT #Python #RStats #Tens…,False,16,0,: Awesome (Cheat Sheets) |,0.297,0.297,0.406,0.2732,1.0,1.0,Positive,Positive,Positive,Positive
